id;name;total_amount;ordered;buyer_id
1;TCP Assimilated;3883;2019-05-09T09:01:29;1
2;interface;82786;2019-05-09T10:17:15;1
3;Club backing up;19438;2019-05-09T16:00:53;2
4;Metal Frozen;96953;2019-05-09T16:22:33;1
5;morph content bypass;25086;2019-05-10T04:09:31;2
6;infomediaries Som Rustic Frozen Keyboard;44235;2019-05-09T22:45:41;2
7;Tuna Response invoice;51669;2019-05-09T11:03:28;2
8;system Gorgeous Rubber Pants;15864;2019-05-09T10:34:44;1
9;Small;9415;2019-05-10T03:47:22;2
10;Shoes Music connect;80691;2019-05-09T17:24:14;1
